artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Chris Martin,My Ex-Girl,189200,False,2010,0,0.462,0.659,6,-5.854,0,0.0925,0.2,0.0,0.249,0.554,83.303,dancehall
Mavado,Aktion Pak,187413,True,2012,0,0.69,0.85,4,-3.743,0,0.335,0.0103,0.0,0.159,0.799,94.412,dancehall
Kevin Lyttle,Last Drop (feat. Spragga Benz),201973,False,2004,36,0.748,0.862,8,-3.878,1,0.0418,0.129,0.0,0.132,0.895,107.055,dancehall
Barrington Levy,Murderer,233300,False,2011,0,0.865,0.549,0,-10.083,1,0.244,0.0845,0.158,0.081,0.617,142.8,dub reggae
Konshens,Walk and Wine (Gal a Bubble 3),204438,True,2013,0,0.892,0.837,7,-4.065,1,0.255,0.118,1.42e-06,0.244,0.787,100.984,dancehall
Kat Deluna,Whine Up,200481,False,2007,0,0.734,0.662,9,-4.325,1,0.117,0.147,2.87e-06,0.192,0.517,62.457,dancehall
Beenie Man,Let Him Go,203853,False,2000,0,0.763,0.966,1,-4.684,1,0.0926,0.688,0.0,0.0962,0.913,93.675,dancehall
Major Lazer,Jah No Partial - feat. Flux Pavilion,253333,False,2013,0,0.613,0.982,6,-2.138,0,0.0876,0.00164,0.361,0.217,0.376,139.979,pop edm
Collie Buddz,Mamacita,194293,False,2006,51,0.593,0.841,4,-5.387,0,0.106,0.0257,0.0,0.0716,0.779,103.362,dancehall
Leftside,Tic Toc,163422,False,2012,2,0.852,0.808,7,-5.117,1,0.161,0.0486,0.0,0.0584,0.962,107.998,dancehall
TopGunn,Hold Ud,189347,False,2013,0,0.661,0.588,5,-6.087,0,0.129,0.0447,0.0,0.08,0.774,116.81,dancehall
Vybz Kartel,Come Yah Nuh Me Gal,244800,False,2011,0,0.854,0.892,11,-3.091,0,0.0979,0.338,7.71e-06,0.312,0.51,101.988,dancehall
Ninja Kid,Wine Pon Dis,165695,False,2013,0,0.644,0.79,5,-6.557,0,0.443,0.134,0.0,0.0888,0.711,133.59,dancehall
Voicemail,Wild Bubble,187013,False,2012,0,0.812,0.699,7,-7.169,1,0.209,0.00463,0.0,0.188,0.763,105.053,dancehall
Tony Matterhorn,Goodas,223237,False,2006,0,0.613,0.573,4,-8.481,0,0.422,0.0852,0.0,0.118,0.806,93.543,dancehall
Alborosie,Kingston Town,190960,False,2010,0,0.779,0.819,4,-3.495,0,0.0611,0.0336,0.0,0.355,0.554,74.007,reggae
Vybz Kartel,Freestyle,200587,False,2012,0,0.792,0.823,0,-5.302,1,0.279,0.248,1.62e-05,0.223,0.637,111.954,dancehall
QQ,Ghetto Gal,167811,False,2012,0,0.639,0.885,1,-3.054,1,0.511,0.217,0.0,0.605,0.9,118.835,dancehall
D'banj,Oliver Twist,234893,False,2012,0,0.843,0.9,8,-4.914,1,0.0668,0.379,1.11e-05,0.113,0.85,125.02,dancehall
UB40,Red Red Wine,183733,False,2000,72,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,reggae
Sean Paul,Now That I've Got Your Love,213453,False,2009,28,0.742,0.731,9,-4.507,0,0.235,0.018,0.0,0.362,0.649,155.056,dancehall pop
Popcaan,Get Gyal Easy,197805,False,2012,0,0.63,0.681,6,-5.904,0,0.0655,0.183,0.0,0.0752,0.682,100.475,dancehall
Buju Banton Feat. Nadine Sutherland,Wicked Dickie,237200,False,1993,0,0.772,0.918,1,-5.186,1,0.082,0.174,0.0,0.314,0.789,91.622,dancehall
Konshens,Thank God Fi Di Gal Dem,186776,False,2013,0,0.853,0.782,5,-5.218,0,0.263,0.277,0.0,0.146,0.631,103.186,dancehall
Tarrus Riley,Gimme Likkle One Drop,174483,False,2012,0,0.683,0.727,4,-3.328,1,0.18,0.256,0.0,0.118,0.777,87.062,dancehall reggae
Vybz Kartel,Business,184227,True,2013,0,0.772,0.869,4,-2.468,0,0.345,0.0644,0.0,0.0624,0.714,125.058,dancehall
Spragga Benz,She Love Me,186947,False,2012,0,0.711,0.9,10,-3.616,1,0.34,0.0846,0.0,0.223,0.568,94.858,dancehall
Elephant Man,Rah Rah,199147,False,2009,0,0.798,0.837,11,-8.307,0,0.367,0.157,0.0,0.15,0.79,102.08,dancehall
Sean Paul,Ever Blazin',190880,False,2005,43,0.753,0.771,9,-4.556,0,0.0862,0.028,0.0,0.0434,0.91,104.016,dancehall pop
EaggerStunn,Kugledans - Radio Edit,213747,False,2012,0,0.703,0.849,11,-5.864,0,0.0796,0.125,0.0,0.348,0.82,93.027,dancehall
Vybz Kartel,Straight Jeans & Fitted (feat. Russian),177525,False,2013,0,0.611,0.691,11,-3.708,0,0.421,0.0738,3.97e-06,0.287,0.429,129.544,dancehall
Machel Montano,Vibes Cyah Done,200162,False,2012,36,0.923,0.787,0,-3.603,1,0.0559,0.142,0.0,0.0501,0.821,128.064,dancehall
Busy Signal,Set Up,177360,False,2013,0,0.707,0.781,11,-5.712,1,0.0818,0.313,0.000366,0.0943,0.789,93.911,dancehall
"Nas & Damian ""Jr. Gong"" Marley",As We Enter,147907,True,2010,0,0.916,0.758,7,-4.423,1,0.247,0.149,0.0,0.0851,0.874,120.189,dancehall
Popcaan,Unruly Gal,193653,True,2013,0,0.79,0.849,5,-3.544,0,0.151,0.29,0.0,0.0588,0.495,110.992,dancehall
Vybz Kartel,Virginity (Raw),199173,True,2011,0,0.559,0.721,7,-5.516,0,0.318,0.4,0.0,0.204,0.863,84.015,dancehall
Gyptian,Hold You [Hold Yuh] - Soca Refix,224387,False,2010,25,0.482,0.907,5,-4.365,0,0.0397,0.0972,0.0,0.0489,0.93,106.784,dancehall
Beenie Man featuring Ms. Thing & Shawwna,Dude (remix),271907,False,2004,0,0.731,0.859,0,-6.65,1,0.224,0.357,3.42e-06,0.139,0.928,94.187,dancehall
Beenie Man,Oysters & Conch,196880,False,2000,0,0.728,0.667,2,-6.831,1,0.199,0.0672,0.0,0.0958,0.747,94.298,dancehall
Diplo,Move Around (feat. Elephant Man & GTA),194187,False,2012,0,0.875,0.773,7,-4.195,1,0.17,0.0103,3.97e-05,0.0373,0.405,110.02,pop edm house
Tommy Lee,Live We Life,156317,False,2012,0,0.723,0.76,0,-3.56,1,0.0321,0.081,0.0,0.0774,0.849,100.953,dancehall
Major Lazer,Get Free,289694,False,2012,0,0.526,0.539,11,-9.456,0,0.061,0.121,0.127,0.121,0.797,176.081,pop edm
Busy Signal,Da Style Deh,156973,False,2009,22,0.818,0.828,1,-5.853,1,0.346,0.216,0.0,0.073,0.737,125.916,dancehall
Vybz Kartel,Dedication,180469,False,2011,17,0.499,0.682,2,-6.07,0,0.152,0.155,0.0,0.327,0.783,106.823,dancehall
Elephant Man,Willie Bounce,250520,False,2005,0,0.589,0.836,9,-5.885,1,0.192,0.234,0.0,0.111,0.668,113.933,dancehall
Junior Kelly,Rasta Should Be Deeper,209813,False,2005,0,0.734,0.803,2,-5.808,0,0.0617,0.0366,0.0,0.319,0.776,72.385,dancehall reggae
Djämes Braun,Traktor,224615,False,2012,0,0.619,0.679,10,-5.282,0,0.324,0.0695,0.0,0.18,0.703,88.5,dancehall
Collie Buddz,Let Me Know,186120,False,2006,36,0.688,0.765,10,-4.628,0,0.272,0.205,0.0,0.144,0.873,87.261,dancehall
Mavado,Final Destination - Raw,166962,False,2012,0,0.513,0.838,5,-2.927,1,0.16,0.0502,0.0,0.256,0.881,133.171,dancehall
Vybz Kartel,Struggle,154413,False,2010,8,0.427,0.736,5,-7.452,1,0.18,0.061,0.0,0.117,0.683,177.977,dancehall
EaggerStunn,Fast Hånd,285173,False,2012,0,0.768,0.536,7,-6.441,1,0.294,0.0453,0.0,0.0768,0.888,81.996,dancehall
Children Of Bodom,Living Dead Beat,318093,False,2005,0,0.491,0.976,7,-3.388,1,0.0994,2.74e-05,0.304,0.531,0.194,130.021,metal
Dying Fetus,Epidemic of Hate,282400,False,2000,30,0.413,0.942,6,-6.082,0,0.158,0.000331,0.013,0.0748,0.369,125.865,death-metal
Death,Scavenger of Human Sorrow,416680,False,1998,44,0.309,0.989,7,-3.953,1,0.177,4.05e-05,0.00478,0.054,0.418,98.217,metal rock
Nile,Kem Khefa Kheshef,377987,False,2009,0,0.409,0.963,2,-4.352,0,0.121,6.06e-06,0.935,0.374,0.0666,125.0,metal
Morbid Angel,Maze of Torment,264667,False,1989,36,0.201,0.98,8,-6.507,1,0.125,5.71e-06,0.163,0.119,0.0958,105.099,metal
Carcass,Reek of Putrefaction,249933,True,1989,26,0.163,0.84,2,-11.532,1,0.131,7.21e-06,0.771,0.0575,0.0391,102.872,metal
Kataklysm,As I Slither,176613,False,2004,0,0.478,0.988,7,-3.398,1,0.145,0.000523,2.1e-05,0.299,0.28,146.103,metal
Fleshgod Apocalypse,Thru Our Scars,331027,False,2010,32,0.404,0.995,4,-4.241,0,0.183,0.000203,0.667,0.115,0.0871,140.14,death-metal
Autopsy,Funereality,173000,False,1989,0,0.146,0.712,9,-7.736,1,0.0557,0.0273,0.966,0.103,0.0389,68.973,grindcore metal
Deicide,Kill the Christian,177480,False,1995,32,0.411,0.947,1,-7.73,1,0.0731,9.02e-05,0.255,0.093,0.441,118.893,metal
Nile,Die Rache Krieg Lied Der Assyriche,193293,False,1998,20,0.515,0.96,7,-10.01,0,0.0866,0.463,0.0853,0.105,0.0353,141.944,metal
Necrophagist,Seven,221880,False,2004,30,0.318,0.983,6,-7.927,1,0.111,2.76e-05,0.537,0.18,0.102,119.943,death-metal
Children Of Bodom,Children Of Decadence,333187,False,2000,0,0.429,0.988,2,-3.794,1,0.118,3.22e-05,0.824,0.229,0.323,143.955,metal
Morbid Angel,Doomsday Celebration,109053,False,1991,20,0.421,0.28,4,-16.208,1,0.0299,0.758,0.768,0.675,0.0422,100.037,metal
Insomnium,Where The Last Wave Broke,303320,False,2009,0,0.465,0.98,7,-4.257,1,0.0706,3.13e-06,0.12,0.13,0.131,117.502,metal
Deicide,In The Minds of Evil,233048,False,2013,0,0.535,0.889,10,-5.547,0,0.0533,9.92e-05,0.41,0.329,0.327,97.493,metal
Suffocation,The Invoking,276600,False,1995,21,0.296,0.888,10,-10.324,0,0.106,1.78e-06,0.932,0.0795,0.567,105.526,metal
Entombed,Out Of Hand,188533,False,1993,24,0.281,0.99,1,-4.764,1,0.0542,8.37e-06,0.677,0.153,0.776,153.705,metal
Obituary,In the End of Life,221867,False,1992,18,0.233,0.931,7,-7.043,1,0.103,3.88e-05,0.123,0.128,0.303,77.129,metal
Nile,Papyrus Containing The Spell To Preserve Its Possessor Against Attacks From He Who Is In The Water,176587,False,2007,0,0.284,0.989,5,-3.08,1,0.148,0.000285,0.557,0.044,0.0545,132.537,metal
Amon Amarth,The Pursuit Of Vikings,270253,False,2004,55,0.506,0.967,6,-2.973,1,0.0451,6.59e-05,0.41,0.167,0.488,129.704,metal
Hypocrisy,Exclamation Of A Necrofag,308400,False,1993,2,0.217,0.978,9,-6.844,1,0.147,0.00034,0.659,0.0755,0.0375,135.932,metal
Morbid Angel,Caesar's Palace,380467,False,1995,20,0.257,0.874,10,-7.764,0,0.0789,0.000735,0.0201,0.59,0.229,128.177,metal
Obituary,Godly Beings,115000,False,1989,29,0.243,0.982,5,-6.319,1,0.161,6.71e-06,0.0113,0.0678,0.0477,118.21,metal
Dismember,Sickening Art,235533,False,1991,0,0.117,0.927,1,-3.828,1,0.0982,4.28e-06,0.8,0.123,0.19,171.284,death-metal
Dimmu Borgir,The Serpentine Offering,309264,False,2007,0,0.244,0.955,7,-3.747,0,0.093,2.85e-05,0.00897,0.0749,0.0784,102.101,metal
In Flames,The Jester Race,291267,False,1996,0,0.418,0.981,5,-4.467,1,0.0693,0.000115,0.856,0.0972,0.643,138.845,metal
Morbid Angel,Abominations,266813,False,1991,22,0.312,0.916,8,-8.247,1,0.0684,0.00241,0.0144,0.367,0.513,151.507,metal
Bolt Thrower,Afterlife,360040,False,1991,19,0.0904,0.818,1,-13.108,1,0.102,2.83e-06,0.896,0.0871,0.0822,81.083,metal
Arch Enemy,Under Black Flags We March,280813,False,2011,0,0.518,0.955,5,-5.594,1,0.0531,1.09e-05,0.148,0.0721,0.343,94.974,metal
Kataklysm,Like Angels Weeping (The Dark),267076,True,2006,0,0.46,0.963,1,-4.308,0,0.0721,1.08e-05,0.0715,0.244,0.307,103.123,metal
Deicide,In Hell I Burn,277920,False,1992,25,0.309,0.969,11,-7.703,1,0.059,2.7e-06,0.563,0.167,0.517,134.686,metal
Morbid Angel,Fall from Grace,313440,False,1991,34,0.348,0.867,4,-8.271,0,0.0566,0.000123,0.038,0.564,0.471,109.172,metal
Bloodbath,Iesous,213893,False,2008,0,0.541,0.957,10,-4.399,1,0.193,4.59e-05,0.789,0.31,0.147,109.985,metal
Suffocation,Marital Declimation,245600,False,1993,17,0.332,0.8,4,-16.074,0,0.0402,0.00143,0.875,0.388,0.59,109.322,metal
Arch Enemy,Ravenous,245333,False,2001,0,0.209,0.994,1,-3.868,1,0.109,4.5e-05,0.276,0.38,0.181,178.199,metal
Insomnium,Through The Shadows,272600,False,2011,0,0.416,0.972,5,-4.966,1,0.112,3.37e-06,4.06e-05,0.314,0.157,122.487,metal
Dark Tranquillity,The Gallery,247907,False,1995,0,0.292,0.926,5,-5.758,0,0.0907,0.000915,0.00616,0.128,0.392,142.001,metal
Necrophagist,Fermented Offal Discharge,288947,False,2004,0,0.299,0.981,10,-4.453,0,0.2,7.96e-06,0.515,0.349,0.0766,111.992,death-metal
Edge Of Sanity,Black Tears,195587,False,1994,0,0.177,0.93,7,-5.397,1,0.0865,5.44e-06,0.731,0.344,0.256,89.808,metal
Nile,Supreme Humanism Of Megalomania,276973,False,2012,0,0.321,0.918,7,-6.246,0,0.0822,0.000346,0.74,0.0868,0.15,120.094,metal
Aborted,Coronary Reconstruction,268307,False,2012,0,0.332,0.984,7,-4.914,1,0.209,1.72e-05,0.574,0.279,0.0861,118.678,grindcore
Dying Fetus,The Blood of Power,323067,False,2012,24,0.366,0.965,1,-5.701,1,0.145,0.00283,0.237,0.314,0.207,113.965,death-metal
Bloodbath,At the Behest of Their Death,220760,False,2008,0,0.515,0.96,11,-5.035,0,0.151,9.61e-05,0.0408,0.409,0.19,119.963,metal
Dismember,Override Of The Overture,315667,False,1991,0,0.171,0.988,1,-4.556,1,0.199,7.72e-06,0.824,0.394,0.0837,113.917,death-metal
Deicide,Never To Be Seen Again,204587,True,2006,13,0.259,0.994,4,-3.912,1,0.116,8.84e-05,0.371,0.112,0.11,114.217,metal
Death,Pull The Plug,266667,False,1988,0,0.242,0.977,9,-9.019,1,0.112,2.55e-06,0.514,0.0525,0.306,95.251,metal rock
Children Of Bodom,Lookin' Out My Back Door,128653,False,2009,0,0.282,0.988,5,-4.132,0,0.196,8.31e-05,0.00696,0.789,0.383,75.509,metal
Obituary,Denied,217013,False,2005,18,0.298,0.96,2,-5.995,1,0.174,1.82e-05,0.00124,0.279,0.0741,132.448,metal
Morbid Angel,Hatework,348200,False,1995,16,0.33,0.657,9,-9.792,1,0.0374,0.0283,0.833,0.0947,0.319,170.07,metal
Suffocation,Marital Decimation,254773,False,2009,1,0.304,0.959,1,-5.638,0,0.135,0.000195,0.284,0.684,0.419,103.926,metal
Dark Tranquillity,Silence and the Firmament Withdrew,156200,False,1995,0,0.18,0.925,6,-4.399,1,0.0861,2.29e-05,0.0184,0.0569,0.372,140.644,metal
Entombed,The Truth Beyond,205707,False,1990,23,0.219,0.987,7,-5.211,1,0.186,4.86e-06,0.579,0.272,0.103,141.059,metal
Norther,Frozen Angel,246827,False,2008,0,0.422,0.954,2,-4.018,1,0.0653,3.34e-05,8.87e-05,0.174,0.271,87.552,metal
Decapitated,404,308747,False,2011,0,0.414,0.991,6,-5.15,0,0.0887,1.05e-05,0.317,0.33,0.141,135.991,metal
Suffocation,Torn into Enthrallment,325827,False,1995,24,0.283,0.871,1,-10.235,1,0.139,3.72e-06,0.94,0.0913,0.54,141.273,metal
Morbid Angel,Evil Spells,251880,False,1989,25,0.227,0.957,1,-8.079,0,0.108,1e-05,0.0571,0.186,0.214,123.759,metal
Nile,"Unas, Slayer of the Gods",703080,False,2002,24,0.292,0.965,7,-6.453,1,0.154,0.000266,0.703,0.106,0.0627,110.83,metal
Dying Fetus,In Times of War,188200,False,2000,22,0.375,0.948,6,-6.036,0,0.142,0.000161,0.143,0.176,0.353,96.765,death-metal
In Flames,Cloud Connected,220707,False,2002,0,0.484,0.896,8,-5.373,1,0.0463,5.83e-06,0.869,0.0883,0.29,95.093,metal
Deicide,Carnage in the Temple of the Damned,212387,False,1990,26,0.323,0.993,11,-6.563,1,0.192,5.63e-05,0.167,0.15,0.0388,117.3,metal
Suffocation,Beginning of Sorrow,272840,False,2013,0,0.268,0.99,1,-4.917,0,0.118,0.000147,0.566,0.339,0.222,106.367,metal
Necrophagist,The Stillborn One,264347,False,2004,32,0.303,0.986,3,-7.592,1,0.245,6.75e-05,0.216,0.199,0.114,120.09,death-metal
Fleshgod Apocalypse,Temptation,107547,False,2011,0,0.231,0.675,10,-15.206,0,0.0884,0.174,0.932,0.624,0.136,61.184,death-metal
Amon Amarth,Twilight Of The Thunder God,248747,False,2008,61,0.374,0.92,6,-4.653,1,0.0501,1.62e-05,0.026,0.0802,0.278,191.014,metal
Suffocation,Mental Hemorrhage,233587,False,2009,1,0.508,0.958,9,-5.633,1,0.0821,0.00193,0.0162,0.128,0.286,105.01,metal
Death,Altering the Future,334440,False,1990,27,0.257,0.971,6,-4.975,1,0.124,1.4e-05,0.000791,0.0871,0.321,144.921,metal rock
Morbid Angel,Summoning Redemption,436693,False,2000,32,0.442,0.949,4,-8.588,0,0.0673,6.89e-05,0.103,0.862,0.0485,90.109,metal
Decapitated,Eternity Too Short,272720,False,2002,25,0.35,0.993,2,-4.415,1,0.263,0.000146,0.516,0.126,0.107,101.512,metal
Obituary,Corrosive,251427,False,1992,17,0.297,0.981,7,-6.141,1,0.0735,7.51e-06,0.493,0.123,0.147,110.765,metal
Amon Amarth,Under Siege,377587,False,2013,12,0.166,0.932,11,-6.266,0,0.0907,3.27e-05,0.547,0.258,0.222,184.484,metal
Bolt Thrower,Realm Of Chaos,169773,False,1989,23,0.206,0.991,9,-6.15,0,0.258,5.04e-05,0.153,0.115,0.0379,85.171,metal
Entombed,Abnormally Deceased,178960,False,1990,24,0.176,0.95,1,-7.408,1,0.12,1.14e-06,0.857,0.107,0.311,111.965,metal
Children Of Bodom,Blooddrunk,245013,False,2012,0,0.265,0.943,7,-2.963,1,0.118,2.36e-05,0.727,0.0425,0.25,120.051,metal
Arch Enemy,Burning Angel,255133,False,2001,0,0.371,0.995,5,-3.722,0,0.0669,1.68e-05,0.455,0.0923,0.0801,155.944,metal
Behemoth,Demigod,212987,False,2004,0,0.274,0.984,1,-5.329,1,0.459,9.99e-05,0.717,0.0599,0.0715,127.121,metal
Hypocrisy,God Is A Lie,178600,False,1992,2,0.308,0.964,1,-7.832,1,0.103,6.87e-06,0.0745,0.0687,0.111,115.358,metal
Entombed,Serpent Saints,304640,False,2007,0,0.198,0.941,2,-5.925,1,0.129,1.4e-05,1.05e-06,0.113,0.114,151.508,metal
Morbid Angel,Vengeance Is Mine,195560,False,1993,7,0.497,0.966,1,-8.118,1,0.0959,1.36e-05,0.00897,0.151,0.391,117.691,metal
Bolt Thrower,Eternal War,127707,False,1989,29,0.139,0.986,0,-6.367,1,0.178,1.39e-05,0.708,0.281,0.0341,88.843,metal
Behemoth,Slaves Shall Serve,185027,False,2005,0,0.26,0.989,6,-4.767,1,0.275,0.000138,0.267,0.18,0.123,134.399,metal
Bloodbath,Like Fire,274773,False,2002,0,0.493,0.949,6,-6.626,1,0.0643,1.79e-06,0.91,0.139,0.303,115.013,metal
Death,Torn To Pieces,216000,False,1987,30,0.235,0.89,4,-8.879,0,0.0852,1.51e-06,0.746,0.123,0.352,122.335,metal rock
Fleshgod Apocalypse,The Deceit,363213,False,2011,0,0.238,0.997,11,-2.702,1,0.4,0.0014,0.729,0.284,0.0353,113.694,death-metal
Deicide,Standing in the Flames,211987,True,2000,14,0.378,0.964,10,-7.021,0,0.15,0.00158,0.655,0.0816,0.502,91.496,metal
In Flames,Come Clarity,255713,False,2006,23,0.37,0.928,10,-4.859,0,0.115,0.000941,0.346,0.145,0.0965,149.714,metal
Vader,Dark Age,280373,False,1992,18,0.145,0.913,4,-11.747,1,0.0727,1.15e-05,0.751,0.0949,0.074,91.109,metal
Children Of Bodom,Deadnight Warrior,201400,False,2012,0,0.32,0.967,6,-4.162,0,0.145,3.17e-05,0.765,0.261,0.223,105.847,metal
Behemoth,At The Left Hand Ov God,298333,False,2007,0,0.32,0.985,3,-5.008,1,0.172,0.00788,0.0121,0.488,0.135,124.385,metal
Morbid Angel,World Of Shit (The Promised Land),200440,False,1993,8,0.438,0.932,9,-9.296,1,0.144,0.000175,0.00543,0.43,0.116,116.587,metal
Carcass,Forensic Clinicism/The Sanguine Article,430427,True,1991,15,0.263,0.826,6,-12.533,0,0.0869,1.23e-05,0.772,0.193,0.292,135.211,metal
Decapitated,Silence,258307,False,2011,0,0.265,0.0523,7,-19.348,1,0.0367,0.927,0.916,0.17,0.0349,96.164,metal
Bolt Thrower,Drowned In Torment,184520,False,1989,17,0.0845,0.986,11,-6.697,0,0.176,8.9e-06,0.347,0.054,0.0347,179.159,metal
Death,Zombie Ritual,273413,False,1987,41,0.226,0.951,7,-7.866,1,0.093,2.77e-06,0.0645,0.444,0.142,114.231,metal rock
Meshuggah,Combustion,248933,False,2008,46,0.457,0.997,1,-4.992,0,0.0634,8.36e-06,0.899,0.138,0.53,110.021,death-metal
Arch Enemy,Yesterday Is Dead And Gone,261693,False,2011,0,0.354,0.982,1,-4.675,1,0.0855,9.05e-06,0.0834,0.316,0.176,150.101,metal
Morbid Angel,The Ancient Ones,353493,False,1991,21,0.303,0.882,1,-7.845,1,0.0664,0.000327,0.00378,0.134,0.501,141.376,metal
Dying Fetus,Descend Into Depravity,302427,False,2009,22,0.212,0.873,1,-6.788,1,0.0594,2.3e-05,0.9,0.0538,0.43,170.022,death-metal
Trivium,In Waves,302467,False,2011,31,0.477,0.94,9,-3.435,1,0.103,0.000211,0.0518,0.346,0.338,76.517,metal metalcore
Deicide,Forever Hate You,188240,False,2000,18,0.469,0.796,2,-8.973,1,0.0551,0.00145,0.197,0.185,0.649,96.192,metal
Lilly Wood and The Prick,Prayer in C - Robin Schulz Remix,322688,False,2014,46,0.783,0.622,0,-6.384,1,0.0366,0.00261,0.0122,0.0641,0.878,123.004,deep-house
Stimming,Melodica - Original Mix,405932,False,2009,0,0.953,0.451,8,-10.264,1,0.197,0.0109,0.929,0.116,0.557,124.947,deep-house
Betoko,Before I Lose Control,481605,False,2013,0,0.791,0.599,9,-8.507,0,0.0447,0.0172,0.826,0.0746,0.439,122.04,deep-house
EDX,Reckless Ardor - Radio Mix,178275,False,2014,26,0.808,0.819,1,-4.383,1,0.0466,0.137,0.219,0.0879,0.665,121.007,edm house
Kings Of Tomorrow,Fall For You (feat. April) - Sandy Rivera's Classic Mix,337165,False,2013,0,0.902,0.324,7,-7.289,0,0.0485,0.00218,0.0054,0.146,0.604,123.002,deep-house
Josh Butler,Got A Feeling - Bontan Remix,435484,False,2013,0,0.858,0.495,11,-10.208,0,0.0596,0.00439,0.0114,0.0864,0.279,124.005,house
Findling & Pele,Soul Kitchen - Nico Stojan Remix,375798,False,2012,0,0.811,0.594,0,-8.696,1,0.0558,0.0335,0.855,0.0785,0.294,122.994,deep-house
Groove Armada,Sweat - Tony Waller Remix,441923,False,2014,2,0.828,0.626,5,-10.02,0,0.0832,0.00616,0.9,0.108,0.515,122.02,deep-house
Claptone,No Eyes,418351,False,2013,0,0.923,0.34,3,-10.147,1,0.059,0.0274,0.0706,0.0923,0.408,120.016,house
Parra for Cuva,Wicked Games,358161,False,2013,0,0.835,0.633,11,-8.905,1,0.0451,0.0309,0.211,0.148,0.68,125.0,deep-house
Kyodai,Music Rises Up (Claptone Remix) [feat. Stee Downes],395425,False,2013,0,0.876,0.65,9,-10.859,0,0.056,0.00643,0.187,0.0533,0.786,121.974,deep-house
Mike Mago,The Show - Lars Moston & Teenage Mutants Remix,342857,False,2013,0,0.812,0.489,8,-8.709,1,0.0455,0.00194,0.928,0.348,0.443,120.007,edm house
Eelke Kleijn,Ein Tag Am Strand,168510,False,2013,0,0.72,0.761,0,-9.652,1,0.0418,0.0103,0.822,0.225,0.388,122.987,deep-house
Fabio Giannelli,Maintain,418531,False,2012,0,0.802,0.663,6,-8.868,0,0.0703,0.000121,0.824,0.0596,0.548,119.998,deep-house
Tube & Berger & Milan Euringer,Lovebreak - Original Mix,374000,False,2012,23,0.805,0.437,6,-10.585,0,0.0454,0.0149,0.742,0.0674,0.227,120.028,deep-house
Pleasurekraft,Chloroformd - Original Mix,366073,False,2013,0,0.918,0.727,2,-7.064,1,0.0667,0.00489,0.118,0.375,0.509,121.988,deep-house
Scuba,Adrenalin,279679,False,2011,0,0.68,0.762,0,-8.253,1,0.039,0.0235,0.913,0.685,0.342,125.135,deep-house
Rulers Of The Deep,Track One - Dedicated To DJ Dozia,631200,False,2001,2,0.722,0.76,9,-8.332,0,0.0453,0.0322,0.92,0.0286,0.396,124.005,deep-house
Breach,Jack,313012,False,2013,0,0.908,0.642,11,-8.715,0,0.0734,0.000617,0.0641,0.172,0.66,123.983,house
Claptone,Another Night,372011,False,2012,0,0.889,0.815,0,-7.004,1,0.0743,0.0458,0.844,0.0399,0.422,119.999,house
Jamie Jones,Deep In The Ghetto,374855,False,2009,0,0.799,0.462,11,-12.907,0,0.0774,0.151,0.831,0.119,0.628,124.003,house
Leon Vynehall,"Be Brave, Clench Fists",405228,False,2014,0,0.655,0.828,1,-12.071,1,0.0518,0.0131,0.886,0.671,0.231,121.587,deep-house
George FitzGerald,Child,396799,False,2012,0,0.88,0.55,1,-8.591,1,0.0829,0.00499,0.142,0.267,0.531,123.002,deep-house
Klangkarussell,Sonnentanz - Original Version,362813,False,2012,0,0.641,0.39,5,-10.186,0,0.133,0.361,0.913,0.0981,0.18,119.548,deep-house
Rodriguez Jr.,Satellite,453159,False,2012,0,0.807,0.903,1,-8.591,1,0.0575,0.00677,0.836,0.0809,0.51,123.012,deep-house
Mario Basanov,We Are Child Of Love - The Mekanism Remix,385899,False,2012,29,0.866,0.459,9,-9.136,1,0.122,0.326,0.666,0.0909,0.642,119.988,deep-house
Anja Schneider,Belize,469187,False,2008,0,0.758,0.675,9,-10.172,0,0.0478,0.00615,0.812,0.11,0.425,125.988,deep-house
Duke Dumont,The Giver - Original Mix,389493,False,2012,0,0.701,0.914,7,-4.463,1,0.129,0.000134,0.000137,0.169,0.374,123.966,edm house
DAVID AUGUST,Roco Coco,465792,False,2011,0,0.806,0.501,2,-10.232,1,0.0795,0.047,0.934,0.0665,0.214,119.981,deep-house
Ridney,It's Over - Talul Remix,336002,False,2013,6,0.844,0.536,5,-8.112,0,0.039,0.00127,0.954,0.0672,0.589,120.003,deep-house
Hot Since 82,Hurt You,503911,False,2012,7,0.779,0.528,1,-9.305,1,0.0543,0.000162,0.499,0.0961,0.269,122.005,house
Hesohi,To Hold You - Tuomas Salmela's Finnish This Remix,591192,False,2003,0,0.723,0.821,10,-8.261,0,0.0453,0.0232,0.814,0.0646,0.304,124.009,deep-house
Marek Hemmann,Yvette,359000,False,2009,0,0.723,0.527,6,-10.699,0,0.0846,0.104,0.712,0.132,0.264,128.047,deep-house
Finnebassen,Bella,458182,False,2013,34,0.803,0.549,9,-11.603,0,0.0721,0.00925,0.878,0.0457,0.465,109.986,deep-house
